,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
48,"Closet (eg. clothes, broom, linen closet, etc.)",No business interruption,3,3,50000,2,2013-05-29T11:09:00,"Spread beyond room of origin, same floor",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2013-05-29T11:34:46,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",325,28.0,2013-05-29T12:47:47,43.66242,-79.35869,"Fabric - Synthetic, Combination",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Tampered with (vandalism),Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2013-05-29T11:00:48,2013-05-29T11:04:34,Present
49,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,3,80000,5,2015-02-24T14:50:00,"Spread beyond room of origin, same floor",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-02-24T14:51:10,Space Heater - Portable,115,33.0,2015-02-24T17:03:17,43.77713,-79.3479,Bedding,Extinguished by fire department,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2015-02-24T14:37:53,2015-02-24T14:41:32,Present
50,Cooking Area or Kitchen,No business interruption,1,3,45000,1,2012-04-15T02:11:53,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-04-15T02:23:31,"Stove, Range-top burner",341,21.0,2012-04-15T03:21:43,43.68762,-79.42366,Cabinetry,Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2012-04-15T01:56:28,2012-04-15T02:01:41,Present
51,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,0,3,100000,25,2017-09-06T02:16:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2017-09-06T02:30:00,Air Conditioner - Window or Room Unit,132,15.0,2017-09-06T13:10:06,43.73028,-79.43824,"Mattress, Pillow",Extinguished by fire department,Mechanical Failure,Multi-Unit Dwelling - 7 to 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2017-09-06T02:08:27,2017-09-06T02:14:13,Present
52,Cooking Area or Kitchen,Not applicable (not a business),1,3,1000,1,2017-12-23T13:35:00,Confined to part of room/area of origin,Fire Alarm system operated but failed to alert occupant(s),Fire alarm system operated,2017-12-23T13:37:00,"Stove, Range-top burner",315,20.0,2017-12-23T14:47:33,43.65316,-79.40435,"Cooking Oil, Grease",Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2017-12-23T13:26:03,2017-12-23T13:31:29,Present
53,Porch or Balcony,Not applicable (not a business),2,2,200,0,2019-06-18T22:18:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2019-06-18T22:15:58,"Lamp (eg. coal, oil, naphtha, etc.)",342,9.0,2019-06-19T03:20:27,43.67576884,-79.44497474,Multiple Objects or Materials,Extinguished by occupant,Used or Placed too close to combustibles,Semi-Detached Dwelling,Remote from fire – smoke did not reach alarm,Battery operated,Fire with no evidence from street,2019-06-18T22:10:31,2019-06-18T22:15:42,Not applicable
54,"Living Area (e.g. living, TV, recreation, etc)",May resume operations within a week,0,2,20000,100,2019-06-27T23:59:10,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2019-06-28T00:04:54,Candle,423,4.0,2019-06-28T02:19:02,43.65782988,-79.4639404,Other Furniture,Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2019-06-27T23:44:15,2019-06-27T23:48:55,Present
55,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,2,10000,7,2019-02-14T18:24:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2019-02-14T18:25:13,Undetermined,426,4.0,2019-02-15T00:11:57,43.63774331,-79.4332834,Undetermined (formerly 98),Extinguished by fire department,Under Investigation,Rooming/Boarding/Lodging House,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2019-02-14T18:15:44,2019-02-14T18:20:23,Present
56,Garage,Not applicable (not a business),1,2,70000,2,2019-01-09T01:35:00,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2019-01-09T01:40:00,Undetermined,111,18.0,2019-01-09T06:24:00,43.80158216,-79.40072235,Undetermined (formerly 98),Extinguished by fire department,Electrical Failure,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2019-01-09T01:29:03,2019-01-09T01:34:33,Present
57,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),2,2,40000,2,2018-05-12T17:16:03,Spread to entire room of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-05-12T17:19:14,Undetermined,115,17.0,2018-05-12T22:03:29,43.77356847,-79.34459209,Bedding,Extinguished by fire department,"Unintentional, cause undetermined",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Wireless,Fire with no evidence from street,2018-05-12T16:59:39,2018-05-12T17:04:05,Present
58,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),2,2,25000,6,2018-02-22T02:45:35,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-02-22T02:48:43,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",415,1.0,2018-02-22T15:54:11,43.72622153,-79.55167348,"Fabric - Synthetic, Combination",Extinguished by fire department,Used or Placed too close to combustibles,Detached/Semi/Attached with Accessory Apartment Below Grade,Other reason,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-02-22T02:32:58,2018-02-22T02:39:25,Not applicable
59,"Trash, rubbish area (outside)",No business interruption,1,2,55000,3,2018-03-02T14:14:00,Confined to roof/exterior structure,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-03-02T14:58:05,Undetermined,224,19.0,2018-03-02T16:17:37,43.69448493,-79.31927288,"Rubbish, Trash, Waste",Extinguished by fire department,Improper handling of ignition source or ignited material,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-03-02T14:09:51,2018-03-02T14:12:52,Not applicable
60,Cooking Area or Kitchen,Not applicable (not a business),2,2,100,0,2016-12-19T13:02:08,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2016-12-19T13:02:08,Microwave,322,26.0,2016-12-19T13:42:41,43.70164,-79.33715,Other,Fire self extinguished,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire extinguished prior to arrival,2016-12-19T12:50:49,2016-12-19T12:57:19,Present
61,"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",No business interruption,0,2,300,0,2017-01-31T13:23:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2017-01-31T13:24:00,Undetermined,345,18.0,2017-01-31T14:02:58,43.65878,-79.44075,Undetermined (formerly 98),Extinguished by fire department,Undetermined,"Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2017-01-31T13:16:29,2017-01-31T13:21:17,Present
62,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),2,2,2000,2,2014-10-07T07:14:00,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2014-10-07T07:51:34,Lighters (open flame),313,28.0,2014-10-07T08:05:13,43.67136,-79.37232,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2014-10-07T07:07:03,2014-10-07T07:10:18,Present
63,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),2,2,500,0,2013-10-09T03:26:52,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2013-10-09T03:35:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",234,44.0,2013-10-09T05:01:50,43.76221,-79.18226,Bedding,Extinguished by occupant,"Other unintentional cause, not classified",Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2013-10-09T03:22:36,2013-10-09T03:26:51,Not applicable
64,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),0,2,10000,2,2013-12-06T16:10:20,Confined to object of origin,Undetermined,Fire alarm system operation undetermined,2013-12-06T16:13:20,Fireplace Insert,433,6.0,2013-12-06T18:44:53,43.62075,-79.50154,Wood,Extinguished by fire department,Used for purpose not intended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2013-12-06T16:01:11,2013-12-06T16:07:06,Undetermined
65,Cooking Area or Kitchen,Not applicable (not a business),1,2,5000,0,2016-09-17T12:44:01,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2016-09-17T12:44:00,"Stove, Range-top burner",227,32.0,2016-09-17T13:08:09,43.66716,-79.31692,Other,Extinguished by occupant,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2016-09-17T12:40:18,2016-09-17T12:44:00,No System
66,"Washroom or Bathroom (toilet,restroom/locker room)",Not applicable (not a business),0,2,55000,3,2013-12-23T05:36:00,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2013-12-23T05:40:00,Candle,114,23.0,2013-12-23T07:27:24,43.78164,-79.416,Undetermined (formerly 98),Extinguished by fire department,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2013-12-23T05:14:03,2013-12-23T05:21:12,Present
67,Cooking Area or Kitchen,Not applicable (not a business),0,2,1000,2,2016-11-10T17:13:40,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2016-11-10T17:14:00,Oven,345,19.0,2016-11-10T17:51:17,43.6693,-79.42872,Plastic,Extinguished by fire department,"Other unintentional cause, not classified",Semi-Detached Dwelling,Dead battery,Battery operated,Fire with no evidence from street,2016-11-10T17:08:20,2016-11-10T17:11:07,Not applicable
68,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),0,2,150000,0,2014-08-30T21:37:17,Multi unit bldg: spread beyond suite of origin but not to separated suite(s),Undetermined,Fire alarm system operated,2014-08-30T21:47:17,Undetermined,426,14.0,2014-08-31T01:40:17,43.64735,-79.43728,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2014-08-30T21:24:19,2014-08-30T21:27:35,Present
69,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",May resume operations within a week,1,2,150000,997,2012-11-12T06:30:00,"Spread beyond room of origin, same floor",Undetermined,Fire alarm system operation undetermined,2012-11-12T07:11:12,Undetermined,332,20.0,2012-11-12T19:56:28,43.64854,-79.39741,Undetermined (formerly 98),Extinguished by fire department,Electrical Failure,"Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2012-11-12T06:24:17,2012-11-12T06:28:10,Undetermined
70,Cooking Area or Kitchen,Not applicable (not a business),2,2,400000,997,2014-11-02T03:28:04,"Spread beyond room of origin, same floor",Undetermined,Not applicable (no system),2014-11-02T04:08:55,Undetermined,441,4.0,2014-11-02T11:52:53,43.68757,-79.56999,Undetermined (formerly 98),Extinguished by fire department,"Unintentional, cause undetermined",Semi-Detached Dwelling,Other reason,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2014-11-02T03:20:04,2014-11-02T03:25:15,Not applicable
71,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),2,2,100000,997,2011-02-26T23:50:00,Spread to entire room of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2011-02-27T00:00:00,Undetermined,442,11.0,2011-02-27T04:45:58,43.70422,-79.51939,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Battery operated,"Flames showing from large area (more than one storey, large area outdoors)",2011-02-26T23:38:49,2011-02-26T23:44:19,No System
72,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",May resume operations within a week,2,2,200000,19,2011-04-21T21:35:00,"Spread beyond room of origin, same floor",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-04-21T22:41:53,Undetermined,332,20.0,2011-04-22T01:44:54,43.64935,-79.3937,Undetermined (formerly 98),Extinguished by fire department,Undetermined,"Hotel, Motel, Lodging - 4 or more guests or suites",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2011-04-21T21:26:49,2011-04-21T21:29:37,Undetermined
